Año;Trimestre;Provincia;Mbps (Media de bajada);Trimestre proximo
2022;4;Buenos Aires;111.0;111.0
2022;4;Capital Federal;182.86;182.86
2022;4;Catamarca;83.33;83.33
2022;4;Chaco;104.02;104.02
2022;4;Chubut;15.92;15.92
2022;4;Córdoba;108.77;108.77
2022;4;Corrientes;94.72;94.72
2022;4;Entre Ríos;87.47;87.47
2022;4;Formosa;72.03;72.03
2022;4;Jujuy;39.32;39.32
2022;4;La Pampa;19.1;19.1
2022;4;La Rioja;61.0;61.0
2022;4;Mendoza;38.76;38.76
2022;4;Misiones;91.24;91.24
2022;4;Neuquén;95.37;95.37
2022;4;Río Negro;75.31;75.31
2022;4;Salta;75.93;75.93
2022;4;San Juan;16.39;16.39
2022;4;San Luis;30.67;30.67
2022;4;Santa Cruz;14.33;14.33
2022;4;Santa Fe;90.3;90.3
2022;4;Santiago Del Estero;34.4;34.4
2022;4;Tierra Del Fuego;13.48;13.48
2022;4;Tucumán;88.33;88.33
2022;3;Buenos Aires;70.19;111.0
2022;3;Capital Federal;101.05;182.86
2022;3;Catamarca;60.99;83.33
2022;3;Chaco;53.21;104.02
2022;3;Chubut;15.57;15.92
2022;3;Córdoba;56.32;108.77
2022;3;Corrientes;45.07;94.72
2022;3;Entre Ríos;42.49;87.47
2022;3;Formosa;30.35;72.03
2022;3;Jujuy;32.43;39.32
2022;3;La Pampa;18.1;19.1
2022;3;La Rioja;44.3;61.0
2022;3;Mendoza;34.16;38.76
2022;3;Misiones;49.3;91.24
2022;3;Neuquén;47.81;95.37
2022;3;Río Negro;34.13;75.31
2022;3;Salta;41.33;75.93
2022;3;San Juan;15.84;16.39
2022;3;San Luis;19.33;30.67
2022;3;Santa Cruz;12.6;14.33
2022;3;Santa Fe;45.15;90.3
2022;3;Santiago Del Estero;17.69;34.4
2022;3;Tierra Del Fuego;11.01;13.48
2022;3;Tucumán;53.36;88.33
2022;2;Buenos Aires;65.5;70.19
2022;2;Capital Federal;93.97;101.05
2022;2;Catamarca;56.56;60.99
2022;2;Chaco;50.61;53.21
2022;2;Chubut;14.91;15.57
2022;2;Córdoba;53.51;56.32
2022;2;Corrientes;43.31;45.07
2022;2;Entre Ríos;40.03;42.49
2022;2;Formosa;28.47;30.35
2022;2;Jujuy;29.39;32.43
2022;2;La Pampa;16.07;18.1
2022;2;La Rioja;43.28;44.3
2022;2;Mendoza;29.72;34.16
2022;2;Misiones;46.23;49.3
2022;2;Neuquén;46.53;47.81
2022;2;Río Negro;33.26;34.13
2022;2;Salta;38.77;41.33
2022;2;San Juan;14.44;15.84
2022;2;San Luis;19.32;19.33
2022;2;Santa Cruz;11.81;12.6
